2025-07-13 13:47:21.316 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:117 - maas/ext/maas/scripts/optimized/MATH/train/round_8
2025-07-13 15:42:51.150 | INFO     | maas.ext.maas.benchmark.benchmark:evaluate_all_problems:144 - Starting training repetition 1/3
2025-07-13 15:49:19.445 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:117 - maas/ext/maas/scripts/optimized/MATH/train/round_8
2025-07-13 15:49:19.482 | INFO     | maas.ext.maas.benchmark.benchmark:evaluate_all_problems:144 - Starting training repetition 1/3
2025-07-13 15:50:10.569 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:117 - maas/ext/maas/scripts/optimized/MATH/train/round_8
2025-07-13 15:50:10.606 | INFO     | maas.ext.maas.benchmark.benchmark:evaluate_all_problems:144 - Starting training repetition 1/3
2025-07-13 15:53:16.909 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:117 - maas/ext/maas/scripts/optimized/MATH/train/round_8
2025-07-13 15:53:16.946 | INFO     | maas.ext.maas.benchmark.benchmark:evaluate_all_problems:144 - Starting training repetition 1/3
2025-07-13 15:53:36.943 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: stack(): argument 'tensors' (position 1) must be tuple of Tensors, not Tensor
2025-07-13 15:53:36.944 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: stack(): argument 'tensors' (position 1) must be tuple of Tensors, not Tensor
2025-07-13 15:53:36.944 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: stack(): argument 'tensors' (position 1) must be tuple of Tensors, not Tensor
2025-07-13 15:53:36.944 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: stack(): argument 'tensors' (position 1) must be tuple of Tensors, not Tensor
2025-07-13 15:53:36.945 | INFO     | maas.ext.maas.scripts.optimizer:optimize:84 - Error occurred: tuple index out of range. Retrying... (Attempt 1/1)
2025-07-13 15:53:36.945 | INFO     | maas.ext.maas.scripts.optimizer:optimize:86 - Max retries reached. Moving to next round.
2025-07-13 15:53:41.951 | INFO     | maas.ext.maas.scripts.optimizer:optimize:96 - Score for round 1: None
2025-07-13 15:55:45.971 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:117 - maas/ext/maas/scripts/optimized/MATH/train/round_8
2025-07-13 15:55:46.008 | INFO     | maas.ext.maas.benchmark.benchmark:evaluate_all_problems:144 - Starting training repetition 1/3
2025-07-13 15:56:06.076 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: mat1 and mat2 shapes cannot be multiplied (7x384 and 768x32)
2025-07-13 15:56:06.077 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: mat1 and mat2 shapes cannot be multiplied (7x384 and 768x32)
2025-07-13 15:56:06.077 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: mat1 and mat2 shapes cannot be multiplied (7x384 and 768x32)
2025-07-13 15:56:06.077 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: mat1 and mat2 shapes cannot be multiplied (7x384 and 768x32)
2025-07-13 15:56:06.078 | INFO     | maas.ext.maas.scripts.optimizer:optimize:84 - Error occurred: tuple index out of range. Retrying... (Attempt 1/1)
2025-07-13 15:56:06.078 | INFO     | maas.ext.maas.scripts.optimizer:optimize:86 - Max retries reached. Moving to next round.
2025-07-13 15:56:11.082 | INFO     | maas.ext.maas.scripts.optimizer:optimize:96 - Score for round 1: None
2025-07-13 16:06:47.751 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:117 - maas/ext/maas/scripts/optimized/MATH/train/round_8
2025-07-13 16:06:47.788 | INFO     | maas.ext.maas.benchmark.benchmark:evaluate_all_problems:144 - Starting training repetition 1/3
2025-07-13 16:07:08.319 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: 'int' object is not subscriptable
2025-07-13 16:07:08.319 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: 'int' object is not subscriptable
2025-07-13 16:07:08.320 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: 'int' object is not subscriptable
2025-07-13 16:07:08.320 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: 'int' object is not subscriptable
2025-07-13 16:07:08.320 | INFO     | maas.ext.maas.scripts.optimizer:optimize:84 - Error occurred: tuple index out of range. Retrying... (Attempt 1/1)
2025-07-13 16:07:08.320 | INFO     | maas.ext.maas.scripts.optimizer:optimize:86 - Max retries reached. Moving to next round.
2025-07-13 16:07:13.325 | INFO     | maas.ext.maas.scripts.optimizer:optimize:96 - Score for round 1: None
2025-07-13 16:11:42.020 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:117 - maas/ext/maas/scripts/optimized/MATH/train/round_8
2025-07-13 16:11:42.065 | INFO     | maas.ext.maas.benchmark.benchmark:evaluate_all_problems:144 - Starting training repetition 1/3
2025-07-13 16:12:02.578 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: 'int' object is not subscriptable
2025-07-13 16:12:02.578 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: 'int' object is not subscriptable
2025-07-13 16:12:02.578 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: 'int' object is not subscriptable
2025-07-13 16:12:02.579 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: 'int' object is not subscriptable
2025-07-13 16:12:02.579 | INFO     | maas.ext.maas.scripts.optimizer:optimize:84 - Error occurred: tuple index out of range. Retrying... (Attempt 1/1)
2025-07-13 16:12:02.579 | INFO     | maas.ext.maas.scripts.optimizer:optimize:86 - Max retries reached. Moving to next round.
2025-07-13 16:12:07.584 | INFO     | maas.ext.maas.scripts.optimizer:optimize:96 - Score for round 1: None
2025-07-13 16:19:10.874 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:117 - maas/ext/maas/scripts/optimized/MATH/train/round_8
2025-07-13 16:19:10.919 | INFO     | maas.ext.maas.benchmark.benchmark:evaluate_all_problems:144 - Starting training repetition 1/3
2025-07-13 16:23:09.519 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:117 - maas/ext/maas/scripts/optimized/MATH/train/round_8
2025-07-13 16:23:09.525 | INFO     | maas.ext.maas.scripts.optimizer_utils.graph_utils:load_graph_maas:31 - Error loading graph: cannot import name 'EarlyStop' from 'maas.ext.maas.scripts.optimized.MATH.train.template.operator' (/home/sujinwei/grpo_train_flow/MaAS/maas/ext/maas/scripts/optimized/MATH/train/template/operator.py)
2025-07-13 16:23:09.525 | INFO     | maas.ext.maas.scripts.optimizer:optimize:84 - Error occurred: cannot import name 'EarlyStop' from 'maas.ext.maas.scripts.optimized.MATH.train.template.operator' (/home/sujinwei/grpo_train_flow/MaAS/maas/ext/maas/scripts/optimized/MATH/train/template/operator.py). Retrying... (Attempt 1/1)
2025-07-13 16:23:09.525 | INFO     | maas.ext.maas.scripts.optimizer:optimize:86 - Max retries reached. Moving to next round.
2025-07-13 16:23:14.530 | INFO     | maas.ext.maas.scripts.optimizer:optimize:96 - Score for round 1: None
2025-07-13 16:23:49.094 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:117 - maas/ext/maas/scripts/optimized/MATH/train/round_8
2025-07-13 16:23:49.132 | INFO     | maas.ext.maas.benchmark.benchmark:evaluate_all_problems:144 - Starting training repetition 1/3
2025-07-13 16:24:06.594 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 1.280(s), this was the 1st time calling it.
2025-07-13 16:24:08.031 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 2.717(s), this was the 2nd time calling it.
2025-07-13 16:24:09.101 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 1.277(s), this was the 1st time calling it.
2025-07-13 16:24:10.161 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 4.848(s), this was the 3rd time calling it.
2025-07-13 16:24:11.049 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 3.225(s), this was the 2nd time calling it.
2025-07-13 16:24:11.641 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 6.328(s), this was the 4th time calling it.
2025-07-13 16:24:12.663 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 4.839(s), this was the 3rd time calling it.
2025-07-13 16:24:13.836 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 8.523(s), this was the 5th time calling it.
2025-07-13 16:24:15.281 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 1.358(s), this was the 1st time calling it.
2025-07-13 16:24:15.993 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 1.356(s), this was the 1st time calling it.
2025-07-13 16:24:17.132 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 3.209(s), this was the 2nd time calling it.
2025-07-13 16:24:17.653 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 9.829(s), this was the 4th time calling it.
2025-07-13 16:24:18.153 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 3.516(s), this was the 2nd time calling it.
2025-07-13 16:24:19.736 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 5.814(s), this was the 3rd time calling it.
2025-07-13 16:24:20.155 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 12.331(s), this was the 5th time calling it.
2025-07-13 16:24:21.080 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 6.444(s), this was the 3rd time calling it.
2025-07-13 16:24:21.964 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 14.140(s), this was the 6th time calling it.
2025-07-13 16:24:21.964 | ERROR    | maas.utils.common:log_and_reraise:816 - Retry attempts exhausted. Last exception: Connection error.
2025-07-13 16:24:21.964 | WARNING  | maas.utils.common:log_and_reraise:817 - 
Recommend going to https://deepwisdom.feishu.cn/wiki/MsGnwQBjiif9c3koSJNcYaoSnu4#part-XdatdVlhEojeAfxaaEZcMV3ZniQ
See FAQ 5.8

2025-07-13 16:24:22.403 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 8.481(s), this was the 4th time calling it.
2025-07-13 16:24:23.905 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 9.268(s), this was the 4th time calling it.
2025-07-13 16:24:27.216 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 21.902(s), this was the 6th time calling it.
2025-07-13 16:24:27.216 | ERROR    | maas.utils.common:log_and_reraise:816 - Retry attempts exhausted. Last exception: Connection error.
2025-07-13 16:24:27.217 | WARNING  | maas.utils.common:log_and_reraise:817 - 
Recommend going to https://deepwisdom.feishu.cn/wiki/MsGnwQBjiif9c3koSJNcYaoSnu4#part-XdatdVlhEojeAfxaaEZcMV3ZniQ
See FAQ 5.8

2025-07-13 16:24:28.696 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 14.059(s), this was the 5th time calling it.
2025-07-13 16:24:28.900 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 14.978(s), this was the 5th time calling it.
2025-07-13 16:24:37.211 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 23.289(s), this was the 6th time calling it.
2025-07-13 16:24:37.212 | ERROR    | maas.utils.common:log_and_reraise:816 - Retry attempts exhausted. Last exception: Connection error.
2025-07-13 16:24:37.212 | WARNING  | maas.utils.common:log_and_reraise:817 - 
Recommend going to https://deepwisdom.feishu.cn/wiki/MsGnwQBjiif9c3koSJNcYaoSnu4#part-XdatdVlhEojeAfxaaEZcMV3ZniQ
See FAQ 5.8

2025-07-13 16:24:39.762 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 25.125(s), this was the 6th time calling it.
2025-07-13 16:24:39.762 | ERROR    | maas.utils.common:log_and_reraise:816 - Retry attempts exhausted. Last exception: Connection error.
2025-07-13 16:24:39.763 | WARNING  | maas.utils.common:log_and_reraise:817 - 
Recommend going to https://deepwisdom.feishu.cn/wiki/MsGnwQBjiif9c3koSJNcYaoSnu4#part-XdatdVlhEojeAfxaaEZcMV3ZniQ
See FAQ 5.8

2025-07-13 16:25:16.340 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 1.332(s), this was the 1st time calling it.
2025-07-13 16:25:18.351 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 3.343(s), this was the 2nd time calling it.
2025-07-13 16:25:20.647 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 5.639(s), this was the 3rd time calling it.
2025-07-13 16:25:22.457 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 7.449(s), this was the 4th time calling it.
2025-07-13 16:25:24.608 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 9.600(s), this was the 5th time calling it.
2025-07-13 16:25:34.281 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 19.273(s), this was the 6th time calling it.
2025-07-13 16:25:34.281 | ERROR    | maas.utils.common:log_and_reraise:816 - Retry attempts exhausted. Last exception: Connection error.
2025-07-13 16:25:34.281 | WARNING  | maas.utils.common:log_and_reraise:817 - 
Recommend going to https://deepwisdom.feishu.cn/wiki/MsGnwQBjiif9c3koSJNcYaoSnu4#part-XdatdVlhEojeAfxaaEZcMV3ZniQ
See FAQ 5.8

2025-07-13 16:25:48.800 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 1.366(s), this was the 1st time calling it.
2025-07-13 16:25:50.213 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 2.778(s), this was the 2nd time calling it.
2025-07-13 16:25:52.060 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 4.625(s), this was the 3rd time calling it.
2025-07-13 16:25:54.600 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 1.178(s), this was the 1st time calling it.
2025-07-13 16:25:56.284 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 2.862(s), this was the 2nd time calling it.
2025-07-13 16:25:56.422 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 8.987(s), this was the 4th time calling it.
2025-07-13 16:25:58.361 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 4.939(s), this was the 3rd time calling it.
2025-07-13 16:26:01.884 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 8.461(s), this was the 4th time calling it.
2025-07-13 16:26:02.791 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 15.357(s), this was the 5th time calling it.
2025-07-13 16:26:04.219 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 1.474(s), this was the 1st time calling it.
2025-07-13 16:26:05.761 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 3.015(s), this was the 2nd time calling it.
2025-07-13 16:26:08.084 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 14.661(s), this was the 5th time calling it.
2025-07-13 16:26:08.435 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 5.690(s), this was the 3rd time calling it.
2025-07-13 16:26:08.942 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 21.507(s), this was the 6th time calling it.
2025-07-13 16:26:08.942 | ERROR    | maas.utils.common:log_and_reraise:816 - Retry attempts exhausted. Last exception: Connection error.
2025-07-13 16:26:08.942 | WARNING  | maas.utils.common:log_and_reraise:817 - 
Recommend going to https://deepwisdom.feishu.cn/wiki/MsGnwQBjiif9c3koSJNcYaoSnu4#part-XdatdVlhEojeAfxaaEZcMV3ZniQ
See FAQ 5.8

2025-07-13 16:26:10.982 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: list index out of range
2025-07-13 16:26:11.797 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 9.051(s), this was the 4th time calling it.
2025-07-13 16:26:13.295 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: '-2'
2025-07-13 16:26:16.826 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 14.080(s), this was the 5th time calling it.
2025-07-13 16:26:21.050 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 27.628(s), this was the 6th time calling it.
2025-07-13 16:26:21.050 | ERROR    | maas.utils.common:log_and_reraise:816 - Retry attempts exhausted. Last exception: Connection error.
2025-07-13 16:26:21.050 | WARNING  | maas.utils.common:log_and_reraise:817 - 
Recommend going to https://deepwisdom.feishu.cn/wiki/MsGnwQBjiif9c3koSJNcYaoSnu4#part-XdatdVlhEojeAfxaaEZcMV3ZniQ
See FAQ 5.8

2025-07-13 16:26:33.299 | WARNING  | tenacity.after:log_it:44 - Finished call to 'maas.provider.openai_api.OpenAILLM.acompletion_text' after 30.553(s), this was the 6th time calling it.
2025-07-13 16:26:33.299 | ERROR    | maas.utils.common:log_and_reraise:816 - Retry attempts exhausted. Last exception: Connection error.
2025-07-13 16:26:33.299 | WARNING  | maas.utils.common:log_and_reraise:817 - 
Recommend going to https://deepwisdom.feishu.cn/wiki/MsGnwQBjiif9c3koSJNcYaoSnu4#part-XdatdVlhEojeAfxaaEZcMV3ZniQ
See FAQ 5.8

2025-07-13 16:26:51.326 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: list index out of range
2025-07-13 16:26:58.792 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: list index out of range
2025-07-13 16:26:58.793 | INFO     | maas.ext.maas.scripts.optimizer:optimize:84 - Error occurred: tuple index out of range. Retrying... (Attempt 1/1)
2025-07-13 16:26:58.793 | INFO     | maas.ext.maas.scripts.optimizer:optimize:86 - Max retries reached. Moving to next round.
2025-07-13 16:27:03.797 | INFO     | maas.ext.maas.scripts.optimizer:optimize:96 - Score for round 1: None
2025-07-13 16:31:53.185 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:117 - maas/ext/maas/scripts/optimized/MATH/train/round_9
2025-07-13 16:31:53.222 | INFO     | maas.ext.maas.benchmark.benchmark:evaluate_all_problems:144 - Starting training repetition 1/3
2025-07-13 16:32:48.340 | INFO     | maas.utils.token_counter:count_input_tokens:396 - Warning: model qwen2.5:7b not found in tiktoken. Using cl100k_base encoding.
2025-07-13 16:32:48.562 | WARNING  | maas.provider.openai_api:_calc_usage:268 - usage calculation failed: num_tokens_from_messages() is not implemented for model qwen2.5:7b. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
